Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Chargers,231,97,15,5,230,52,79,20.1,1100,2015
Chiefs,199,76,9,6,155,50,116,26.6,955,2015
Colts,235,94,13,7,195,54.9,77,19.4,1052,2015
Cowboys,191,66,16,8,175,52.4,94,23,969,2015
Dolphins,205,63,22,8,194,53.2,72,20.9,977,2015
Eagles,230,91,16,8,193,47.6,110,24.9,1102,2015
Falcons,227,107,19,10,230,56.1,95,22.6,1073,2015
Giants,217,82,16,9,208,53.1,77,19.1,1053,2015
Jaguars,205,72,15,8,215,60.6,69,19.5,1012,2015
Jets,229,93,14,6,210,58,99,22.1,1074,2015
Lions,203,75,14,7,236,56.2,71,20.1,1030,2015
Niners,213,65,19,9,154,47.8,83,21.3,969,2015
Packers,208,70,21,11,173,49.7,100,22.9,1056,2015
Panthers,203,86,10,6,197,65.7,136,25.9,1060,2015
Patriots,215,88,15,9,229,56.7,87,22.7,1050,2015
Raiders,220,86,13,5,193,51.7,74,20,1008,2015
Rams,201,52,13,4,126,46.2,92,21.4,920,2015
Ravens,226,85,24,12,211,49.5,89,23.2,1083,2015
Redskins,216,94,12,7,208,53.9,81,18.9,1011,2015
Saints,218,104,16,10,247,53.7,98,24.7,1096,2015
Seahawks,213,99,9,8,190,57.1,128,25.6,1035,2015
Steelers,193,75,12,4,207,52.9,91,23.4,1011,2015
Texans,249,96,19,6,210,58.7,90,19.1,1127,2015
Titans,201,64,15,7,195,57,66,17.8,976,2015
Vikings,199,76,11,5,153,52,113,23.8,973,2015
Bears,207,78,28,13,194,49,91,25.6,1005,2014
Bengals,211,84,13,7,164,50.8,122,24.8,1018,2014
Bills,229,84,14,6,186,51.2,65,16.2,1020,2014
Broncos,213,94,13,6,227,56.9,98,22.1,1067,2014
Browns,207,61,14,5,179,65.3,88,18.4,1010,2014
Buccaneers,203,76,12,4,162,53.8,72,20.4,936,2014
Cardinals,224,90,4,3,191,59.7,67,16.9,993,2014
Chargers,215,97,11,5,214,56.3,75,18.8,1009,2014
Chiefs,201,80,12,5,184,57.5,92,21.9,962,2014
Colts,217,89,15,6,250,61,80,19.3,1105,2014
Cowboys,201,95,6,3,205,62.5,106,20.9,1014,2014
Dolphins,200,80,19,7,226,57.4,99,24.8,1040,2014
Eagles,237,103,11,7,218,56.8,109,23,1127,2014
Falcons,210,93,16,8,233,55.7,75,20.2,1035,2014
Giants,235,101,16,5,218,56.9,83,18.5,1086,2014
Jaguars,216,69,19,7,154,47.4,86,23.9,988,2014
Jets,234,91,16,9,154,53.7,112,22.1,1052,2014
Lions,223,86,20,10,210,57.5,72,18.2,1045,2014
Niners,213,86,18,10,165,56.5,104,22.1,1009,2014
Packers,197,93,10,4,222,63.6,104,23.9,1001,2014
Panthers,222,93,10,6,199,60.9,117,24.7,1060,2014
Patriots,221,98,13,7,228,58.2,96,21.9,1073,2014
Raiders,236,80,15,9,173,47.4,56,16.6,994,2014
Rams,192,68,10,4,189,57.8,79,20,957,2014
Ravens,205,84,18,9,194,56.4,113,25.2,1021,2014
Redskins,197,62,16,4,186,51.1,88,22,1006,2014
Saints,203,98,15,8,258,56.6,101,24.9,1095,2014
Seahawks,212,90,11,3,160,55.8,144,27.4,1021,2014
Steelers,208,93,10,5,243,59.1,98,23.2,1068,2014
Texans,235,91,17,10,171,58,108,19.6,1062,2014
Titans,196,59,17,6,158,52.8,75,21.1,919,2014
Vikings,211,82,12,6,171,53.1,90,21.8,981,2014
Bears,197,83,13,8,215,57.6,102,25.2,1013,2013
Bengals,225,92,21,12,205,56.3,101,21,1097,2013
Bills,244,83,14,4,149,49.8,113,20.7,1116,2013
Broncos,205,95,9,8,293,63.6,107,23.2,1156,2013
Browns,237,83,31,14,200,52.8,77,22.1,1078,2013
Buccaneers,221,69,22,8,157,54,75,17.9,981,2013
Cardinals,210,74,9,5,205,56.5,84,19.9,1037,2013
Chargers,206,101,6,5,230,60.8,103,21.2,1060,2013
Chiefs,202,72,9,3,179,53.8,110,24.9,968,2013
Colts,213,80,10,3,191,54.6,88,21.5,1023,2013
Cowboys,180,63,6,4,213,56.8,80,23.8,957,2013
Dolphins,217,76,12,3,205,57.4,61,17.5,1001,2013
Eagles,213,83,14,7,197,63.6,133,26.6,1054,2013
Falcons,207,89,14,6,227,51,64,19.9,1024,2013
Giants,211,69,12,6,176,54.2,77,20.2,988,2013
Jaguars,225,70,30,13,176,50.4,71,18.8,1020,2013
Jets,231,90,8,1,154,57.9,105,21.3,1020,2013
Lions,221,95,14,5,221,59.6,105,23.6,1102,2013
Niners,211,77,11,7,148,60.7,115,22.8,961,2013
Packers,216,89,13,9,201,54.9,118,25.7,1074,2013
Panthers,208,91,13,10,169,57.9,122,25.3,999,2013
Patriots,221,83,15,7,225,59.2,109,23.2,1138,2013
Raiders,223,78,12,7,168,56.4,90,20.6,1000,2013
Rams,212,73,18,6,165,54.8,82,19.2,968,2013
Ravens,253,92,16,6,189,52.1,68,16.1,1090,2013
Redskins,235,95,20,6,198,55.8,112,24.7,1107,2013
Saints,221,97,19,9,244,54.7,87,22.2,1079,2013
Seahawks,204,76,11,6,160,59.9,116,22.8,973,2013
Steelers,216,82,15,9,207,54.9,81,20.6,1023,2013
Texans,231,83,17,6,198,53.4,89,21.5,1089,2013
Titans,227,94,17,11,172,52.4,103,22.3,1032,2013
Vikings,214,78,19,10,173,53.2,105,24.8,1013,2013
Bears,219,80,13,5,163,56.8,99,21.1,999,2012
Bengals,217,74,16,11,173,51.6,95,22.1,1016,2012
Bills,198,77,8,5,176,57,103,23.3,983,2012
Broncos,213,96,5,3,232,57.7,112,23.3,1090,2012
Browns,218,67,16,7,185,56.4,71,17.9,998,2012
Buccaneers,212,76,17,7,188,60.4,89,21.4,1008,2012
Cardinals,230,58,24,10,168,49.8,58,16.5,1018,2012
Chargers,217,82,11,6,183,54.1,81,19.7,988,2012
Chiefs,212,70,15,7,144,52.8,118,23.6,1015,2012
Colts,229,98,8,7,208,61.4,110,25,1109,2012
Cowboys,212,93,11,8,237,54.6,76,21.4,1049,2012
Dolphins,207,78,15,5,158,53.9,93,21.1,981,2012
Eagles,222,83,24,14,190,51.8,111,26.9,1079,2012
Falcons,204,92,8,2,246,58.3,70,18.5,1021,2012
Giants,192,78,10,5,187,57.9,103,25.2,968,2012
Jaguars,216,64,26,8,157,47.9,76,21.2,994,2012
Jets,217,80,14,7,162,59.6,102,20.6,1034,2012
Lions,228,97,15,6,272,61.1,84,21.5,1160,2012
Niners,194,68,12,8,172,59.5,126,25.6,969,2012
Packers,213,90,13,7,213,57,85,19.6,1042,2012
Panthers,204,88,9,3,171,60.2,123,26.6,988,2012
Patriots,226,110,12,8,256,63.7,151,28.9,1191,2012
Raiders,220,77,16,4,200,53.2,72,19.2,1032,2012
Rams,209,67,24,13,189,56.9,79,19.3,1002,2012
Ravens,217,80,14,6,182,54.5,98,22.1,1042,2012
Redskins,190,68,17,12,170,58.4,144,27.8,994,2012
Saints,207,91,14,8,267,63.1,64,17.3,1067,2012
Seahawks,199,80,18,11,153,59.1,128,23.9,974,2012
Steelers,224,94,13,6,202,57.1,80,19.4,1023,2012
Texans,221,83,7,4,205,57.9,114,22.4,1090,2012
Titans,217,83,15,5,166,52.2,70,18.5,957,2012
Vikings,210,78,11,7,163,54.3,113,23.2,1001,2012
Bears,203,66,8,2,153,57.1,96,21,978,2011
Bengals,219,80,10,4,160,52,93,20.4,1015,2011
Bills,191,62,22,9,180,50.6,99,25.3,992,2011
Broncos,214,66,13,3,130,59.9,129,23.6,1017,2011
Browns,238,92,18,10,173,54.1,77,18.6,1024,2011
Buccaneers,206,76,21,8,180,49.3,74,21.4,966,2011
Cardinals,205,66,15,9,175,57,83,21.3,993,2011
Chargers,211,103,11,4,234,63.9,97,22.2,1048,2011
Chiefs,225,81,17,7,163,54.5,89,18.3,1021,2011
Colts,214,74,11,4,170,56.3,69,18.1,951,2011
Cowboys,198,78,10,5,219,58.2,91,22.3,1017,2011
Dolphins,207,69,16,6,166,59.3,89,19,990,2011
Eagles,205,85,15,7,197,59.7,134,29.8,1036,2011
Falcons,224,99,13,4,215,58.9,100,22.1,1073,2011
Giants,206,77,13,4,216,60.2,84,20.4,1028,2011
Jaguars,241,81,17,6,122,50.8,103,21.1,1002,2011
